CURRENCY,TOTAL
EUR,19.05
CAD,985.38
JPY,2794.97
USD,47.00
CAD,48.46
EUR,21.43
CAD,2497.69
CAD,3376.92
JPY,74.89
JPY,863.25
EUR,2063.10
EUR,79.76
EUR,200.00
JPY,2639.06
EUR,108.33
EUR,896.43
USD,323.00
CAD,1096.15
CAD,74.62
EUR,977.38
CAD,2419.23
CAD,86.92
EUR,78520.24
EUR,36.90
USD,558.00
CAD,2522.31
CAD,32650.77
EUR,83.33
CAD,2473.85
EUR,98.81
CAD,3161.54
JPY,1173.88
USD,49.00
JPY,79.81
JPY,3577.16
CAD,337.69
JPY,2528.50
CAD,1356.92
EUR,148.81
CAD,124.62
EUR,4216.67
JPY,20.35
JPY,3300.64
EUR,154.76
CAD,2324.62
JPY,7152.52
EUR,1271.43
JPY,78.91
CAD,76.15
JPY,179.38
JPY,863.25
USD,501.00
JPY,978.90
JPY,67064.53
CAD,270.77
CAD,833.85
JPY,222.08
JPY,255.63
JPY,937.06
CAD,819.23
JPY,3165.62
CAD,3407.69
USD,2249.00
JPY,108.77
USD,3329.00
JPY,45.11
EUR,2441.67
USD,81.00
JPY,142.66
JPY,25.46
CAD,211.54
EUR,2490.48
JPY,181.88
CAD,50.00
EUR,1679.76
USD,2720.00
EUR,2401.19
EUR,2503.57
EUR,3383.33
USD,2353.00
USD,132.00
USD,135.00
EUR,52.38
USD,76.00
JPY,876.66
EUR,153.57
JPY,2034.57
USD,134.00
USD,21.00
USD,45.00
USD,1012.00
USD,17.00
JPY,232.05
JPY,2423.99
CAD,59.23
CAD,132.31
CAD,21.54
JPY,41.17
CAD,78.46
EUR,72.62
CAD,2344.62
USD,839.00
USD,2258.00
JPY,19771.10
USD,81.00
JPY,25.26
CAD,315.38
EUR,348.81
CAD,81.54
CAD,876.15
CAD,19.23
EUR,20876.19
EUR,5708.33
JPY,222.10
EUR,972.62
EUR,109.52
CAD,119.23
JPY,3874.52
EUR,139.29
JPY,1916.91
CAD,51.54
JPY,113.74
CAD,101.54
JPY,20.35
JPY,943.77
JPY,310.30
EUR,17.86
JPY,2419.08
JPY,564.78
USD,1077.00
JPY,79.81
USD,10525.00
JPY,231.53
JPY,284.56
JPY,9551.21
JPY,945.66
USD,30.00
EUR,225.00
JPY,1037.81
CAD,51.54
JPY,110.12
EUR,33189.29
CAD,136.15
EUR,190115.48
USD,970.00
JPY,48.60
EUR,2654.76
USD,153.00
EUR,916.67
USD,2052.00
USD,2721.00
CAD,43.85
EUR,2503.57
EUR,51.19
CAD,146769.23
EUR,24215.48
USD,236.00
CAD,133.85
USD,2392.00
USD,187.00
EUR,23.81
JPY,9937.29
CAD,260.77
CAD,2101.54
USD,76.00
CAD,983.08
CAD,83.85
USD,2348.00
CAD,352852.31
EUR,130.95
JPY,51.61
JPY,178.17
EUR,845.24
CAD,2348.46
CAD,14210.00
CAD,5463.08
JPY,148.26
JPY,2771.51
CAD,91.54
USD,105.00
JPY,2772.61
JPY,2669.88
CAD,2483.85
USD,4688.00
JPY,1866.99
JPY,2655.64
USD,142.00
CAD,83.85
USD,47.00
EUR,45.24
CAD,64.62
JPY,48.60
EUR,870.24
CAD,1462.31
CAD,78.46
JPY,7112.60
EUR,3279.76
EUR,64.29
USD,289.00
USD,135.00
USD,130.00
EUR,1097.62
CAD,957.69
JPY,87.82
JPY,860.26
JPY,25.26
USD,2436.00
CAD,2340.77
CAD,105.38
CAD,105.38
EUR,241.67
JPY,434.11
CAD,1060.00
CAD,247.69
USD,361.00
JPY,2548.20
CAD,88.46
CAD,122.31
CAD,113.85
USD,108.00
CAD,4212.31
USD,137.00
EUR,421.43
EUR,42.86
CAD,2460.00
USD,113.00
CAD,26.92
CAD,17.69
CAD,283.08
EUR,153354.76
USD,2281.00
USD,135.00
CAD,17.69
CAD,2353.08
USD,2551.00
JPY,857.64
CAD,141.54
EUR,182.14
CAD,2319.23
JPY,79.81
CAD,276.15
JPY,3642.38
EUR,245.24
JPY,148.26
USD,2460.00
EUR,838.10
USD,57.00
EUR,75.00
JPY,478.34
JPY,1428.74
EUR,79.76
JPY,2460.59
USD,2330.00
JPY,2737.85
USD,33.00
CAD,4526.15
JPY,152.90
EUR,9596.43
JPY,52.96
JPY,652.15
JPY,2417.02
JPY,161.68
CAD,3144.62
EUR,63226.19
JPY,153.82
USD,3301.00
CAD,210.77
CAD,823.85
USD,1547.00
JPY,954.20
CAD,2392.31
JPY,35435.75
JPY,308.64
USD,89.00
JPY,77.35
CAD,235.38
CAD,33995.38
USD,162.00
CAD,26.92
JPY,4919.64
EUR,45.24
EUR,2798.81
JPY,180.84
CAD,2348.46
USD,130.00
USD,129.00
JPY,224.75
USD,67.00
JPY,18.30
USD,29.00
JPY,2772.08
EUR,7042.86
USD,21.00
CAD,759.23
CAD,50.77
USD,12826.00
JPY,111.55
USD,36.00
EUR,842.86
USD,38.00
JPY,147.13
CAD,116.15
JPY,18.30
JPY,179.93
USD,43.00
USD,2433.00
EUR,352.38
EUR,1071.43
CAD,171.54
JPY,67.62
USD,81.00
EUR,19.05
EUR,160.71
JPY,206.07
EUR,190.48
EUR,1083.33
EUR,39.29
EUR,838.10
EUR,540.48
EUR,2370.24
EUR,2171.43
EUR,52.38
USD,76.00
EUR,2388.10
EUR,73.81
EUR,2372.62
JPY,28.25
EUR,69.05
JPY,880.11
CAD,2315.38
CAD,819.23
CAD,26.92
CAD,2963.08
CAD,821.54
JPY,944.05
EUR,207.14
EUR,2492.86
EUR,50.00
USD,3382.00
USD,33162.00
USD,50.00
JPY,111.52
USD,61.00
EUR,3834.52
CAD,218.46
EUR,845.24
CAD,76.92
EUR,2408.33
JPY,3309.30
EUR,30.95
USD,2289.00
USD,72.00
JPY,233.98
USD,2266.00
USD,18.00
JPY,2666.16
CAD,230623.08
CAD,241.54
JPY,33991.81
JPY,2650.71
CAD,2738.46
CAD,2573.85
JPY,145.27
JPY,22.86
JPY,251.22
JPY,25.46
JPY,24765.80
EUR,6982.14
USD,550.00
JPY,54.39
EUR,17.86
USD,820.00
JPY,2512.26
JPY,580.32
CAD,19.23
JPY,5654.56
CAD,36.15
USD,29.00
EUR,4190.48
CAD,4658.46
CAD,130.77
EUR,3658.33
USD,1088.00
USD,147.00
USD,938.00
USD,1525.00
EUR,2370.24
CAD,199.23
EUR,13719.05
EUR,152.38
EUR,51.19
CAD,261.54
CAD,2317.69
EUR,83.33
USD,571.00
USD,3949.00
EUR,1672.62
EUR,2372.62
JPY,1286.90
EUR,2572.62
JPY,254.92
EUR,870.24
USD,2295.00
CAD,78.46
USD,254.00
CAD,219.23
CAD,2319.23
EUR,28376.19
JPY,3424.91
USD,19.00
EUR,42.86
USD,2377.00
USD,4644.00
EUR,226.19
EUR,835.71
USD,930.00
EUR,3679.76
JPY,53.17
JPY,2572.44
USD,110.00
USD,713.00
EUR,3626.19
USD,2289.00
CAD,188.46
CAD,165.38
USD,1049.00
USD,27768.00
USD,2323.00
USD,76.00
USD,2403.00
USD,197.00
USD,132.00
USD,2249.00
USD,798.00
USD,70.00
USD,45.00
CAD,76.15
CAD,23.85
JPY,1168.57
JPY,28.25
EUR,4442.86
EUR,7020.24
JPY,236.53
USD,30.00
JPY,28.25
USD,1256.00
CAD,75.38
USD,103.00
USD,2251.00
CAD,34136.15
CAD,240.77
EUR,75.00
CAD,251.54
JPY,2530.26
EUR,842.86
EUR,875.00
CAD,916.15
CAD,2896.92
CAD,2431.54
USD,798.00
USD,29.00
USD,2253.00
CAD,843.08
CAD,3123.85
USD,89.00
JPY,3971.02
CAD,74.62
CAD,861.54
EUR,2594.05
USD,2458.00
CAD,5608.46
EUR,154.76
JPY,127.24
JPY,78.12
EUR,2369.05
EUR,78.57
CAD,2647.69
JPY,31.22
JPY,860.26
JPY,25.46
JPY,2793.71
JPY,33.28
JPY,142.66
USD,2331.00
USD,43.00
EUR,175.00
EUR,52.38
CAD,2498.46
CAD,51.54
USD,900.00
USD,128.00
USD,2883.00
EUR,2565.48
USD,2330.00
USD,2379.00
JPY,999.91
CAD,1066.92
CAD,268.46
CAD,106.15
EUR,225.00
EUR,107.14
USD,834.00
EUR,51.19
CAD,208.46
CAD,947.69
EUR,3203.57
JPY,1061.28
CAD,819.23
EUR,19.05
CAD,1656.15
USD,220935.00
JPY,945.85
CAD,33.85
EUR,2654.76
EUR,842.86
EUR,2372.62
CAD,46.15
EUR,92.86
EUR,870.24
USD,47.00
EUR,53277.38
USD,798.00
USD,1193.00
USD,6836.00
USD,49.00
CAD,1554.62
EUR,2402.38
CAD,96.92
CAD,76.15
CAD,6152.31
JPY,2601.34
JPY,78.91
CAD,957.69
EUR,79.76
USD,35.00
CAD,63.08
CAD,280.77
JPY,222.32
EUR,165.48
CAD,2350.00
USD,209.00
JPY,2925.36
EUR,121.43
CAD,819.23
JPY,2500.03
EUR,34.52
JPY,940.78
JPY,54.19
EUR,3666.67
CAD,826.92
JPY,2585.71
JPY,2629.20
EUR,19.05
CAD,220.77
CAD,3215.38
EUR,5286.90
JPY,920.31
JPY,2869.44
JPY,54.39
JPY,179.75
EUR,17858.33
CAD,4490.77
JPY,2528.29
JPY,969.20
JPY,128.02
EUR,2391.67
USD,2278.00
JPY,95.91
USD,2282.00
EUR,210.71
CAD,219.23
USD,26.00
EUR,1121.43
JPY,964.56
CAD,133.85
USD,197.00
CAD,669.23
USD,72.00
JPY,977.49
JPY,7127.99
EUR,4132.14
EUR,972.62
EUR,984.52
CAD,39.23
EUR,3378.57
EUR,139.29
USD,228.00
USD,96.00
JPY,379.06
EUR,932.14
EUR,80795.24
USD,2281.00
USD,1672.00
USD,2253.00
CAD,881.54
CAD,149.23
CAD,516.15
CAD,1089.23
JPY,79.81
CAD,823.85
CAD,1145.38
JPY,339.69
EUR,916.67
EUR,83.33
JPY,66.44
JPY,142.66
JPY,77.52
JPY,66.63
CAD,2348.46
USD,798.00
CAD,16.92
USD,2520.00
USD,2249.00
USD,2251.00
CAD,107.69
USD,135.00
CAD,2743.85
USD,30.00
CAD,74.62
CAD,183.08
EUR,433.33
JPY,52.96
USD,2249.00
CAD,100.00
CAD,3179.23
EUR,176.19
JPY,1182.41
USD,803.00
USD,1038.00
JPY,1003.47
USD,35.00
CAD,3437.69
USD,2242.00
JPY,3275.19
JPY,85.10
USD,132.00
USD,2946.00
JPY,3790.70
JPY,168.92
CAD,1096.15
CAD,33.85
CAD,51.54
CAD,133.85
JPY,65.89
CAD,26.92
CAD,173.85
EUR,135.71
JPY,314.07
JPY,352.93
JPY,22.86
CAD,1056.15
CAD,465.38
USD,9756.00
USD,76.00
CAD,31.54
USD,1005.00
USD,974.00
CAD,31.54
CAD,146.92
CAD,791.54
EUR,246.43
JPY,2930.48
JPY,2528.68
CAD,888.46
USD,37.00
JPY,181.40
JPY,3438.12
JPY,221.03
JPY,1101.07
JPY,967.42
CAD,105.38
CAD,39.23
CAD,2317.69
CAD,96.92
CAD,142.31
USD,1028.00
JPY,339.42
USD,803.00
CAD,51.54
JPY,3275.19
USD,2256.00
CAD,2686.15
CAD,313.85
EUR,2533.33
CAD,2783.85
EUR,901.19
JPY,42031.15
USD,9135.00
JPY,140.36
USD,803.00
CAD,42.31
CAD,17.69
CAD,51.54
JPY,2548.75
CAD,550412.31
EUR,32.14
EUR,51.19
USD,137.00
CAD,75.38
JPY,1555.27
CAD,199.23
CAD,107.69
EUR,292216.67
CAD,5233.08
USD,2253.00
EUR,51.19
USD,173.00
USD,19980.00
JPY,370.53
JPY,54.60
JPY,80.19
EUR,64.29
CAD,46.15
USD,176.00
JPY,2465.11
EUR,222.62
EUR,257.14
CAD,46.15
EUR,41163.10
JPY,1039.57
CAD,2315.38
CAD,19.23
CAD,46.15
EUR,2403.57
JPY,142.66
CAD,50.00
JPY,876.66
EUR,125.00
CAD,284.62
EUR,1061.90
USD,3607.00
USD,9710.00
EUR,50.00
EUR,698.81
EUR,908.33
EUR,2369.05
JPY,2832.40
USD,880.00
EUR,2416.67
CAD,3856.15
EUR,2978.57
CAD,107.69
USD,7546.00
USD,1021.00
JPY,8276.64
JPY,169.22
USD,827.00
JPY,2426.98
JPY,298992.70
EUR,673.81
JPY,80.19
EUR,47.62
CAD,3190.00
EUR,221.43
USD,2391.00
USD,128.00
USD,4363.00
USD,176.00
EUR,2375.00
EUR,63310.71
USD,30.00
JPY,887280.87
JPY,88.08
EUR,6288.10
JPY,241.99
USD,17.00
CAD,2461.54
USD,5631.00
USD,27058.00
USD,129.00
USD,2375.00
CAD,650.00
USD,2302.00
CAD,1355.38
CAD,108.46
CAD,26.92
CAD,1108.46
EUR,2472.62
EUR,21.43
EUR,136.90
USD,198.00
CAD,46.15
USD,91.00
EUR,109.52
USD,103.00
EUR,842.86
USD,135.00
EUR,332.14
USD,104.00
USD,33.00
JPY,126125.44
CAD,8825.38
JPY,2417.02
JPY,1088.34
EUR,4019.05
CAD,183.85
JPY,25.46
CAD,252.31
USD,2253.00
CAD,856.92
CAD,141.54
USD,3547.00
USD,74.00
JPY,1110.70
CAD,3751.54
USD,1967.00
USD,844.00
CAD,977.69
CAD,6756.92
CAD,31.54
USD,429892.00
CAD,13102.31
CAD,2353.85
CAD,36.15
USD,307.00
CAD,245.38
CAD,836.15
USD,66.00
CAD,42.31
CAD,297.69
CAD,196.92
CAD,71.54
CAD,386.92
JPY,18.50
USD,104.00
CAD,33.85
USD,26.00
CAD,94.62
JPY,225.34
USD,2551.00
CAD,486.15
USD,959.00
EUR,2563.10
EUR,201.19
EUR,83.33
EUR,911.90
CAD,892.31
USD,6006.00
CAD,4470.77
USD,2360.00
USD,189.00
CAD,74.62
CAD,5263.08
CAD,1006.92
CAD,107.69
USD,2365.00
CAD,50.00
EUR,127.38
EUR,83.33
CAD,2493.08
EUR,2378.57
EUR,34.52
CAD,295.38
USD,3055.00
USD,1307.00
USD,79.00
CAD,3020.00
USD,796.00
USD,47.00
EUR,840.48
CAD,2392.31
JPY,3343.61
CAD,97.69
USD,19.00
USD,30.00
CAD,2324.62
CAD,4037.69
EUR,2414.29
EUR,703.57
EUR,29.76
EUR,994.05
EUR,45.24
JPY,112.79
CAD,76.15
USD,4678.00
JPY,110.12
JPY,138.30
CAD,399.23
USD,1331.00
CAD,2392.31
CAD,48.46
USD,380.00
USD,103.00
JPY,49.00
USD,316.00
JPY,4748.53
JPY,25.46
CAD,21.54
JPY,280.89
JPY,260.17
EUR,1302.38
USD,2551.00
EUR,79.76
EUR,172.62
EUR,1529.76
USD,423.00
USD,2842.00
CAD,43.85
JPY,446.99
JPY,876.46
EUR,3241.67
USD,79.00
EUR,2595.24
JPY,67.42
USD,76180.00
USD,232.00
USD,878.00
JPY,2494.37
CAD,173.85
JPY,297.09
CAD,138.46
CAD,2319.23
USD,81.00
CAD,2217.69
JPY,1024.39
EUR,84.52
JPY,112.79
JPY,3854.85
JPY,66.38
CAD,344.62
JPY,2530.26
CAD,116.15
CAD,210.77
USD,5570.00
USD,2282.00
USD,49.00
JPY,2426.98
USD,255.00
USD,98.00
CAD,220.77
CAD,105.38
USD,35.00
CAD,23765.38
JPY,256.03
USD,135.00
JPY,4407.75
CAD,3224.62
EUR,29.76
CAD,1011.54
CAD,2354.62
EUR,292.86
CAD,11563.85
USD,49.00
CAD,826.92
EUR,979.76
CAD,75.38
CAD,88.46
EUR,134.52
EUR,173.81
JPY,78.91
EUR,69.05
EUR,76.19
CAD,248.46
USD,3370.00
USD,929.00
USD,137.00
USD,49.00
JPY,2451.69
USD,2278.00
USD,143.00
EUR,32.14
EUR,2459.52
JPY,2710.87
EUR,2458.33
EUR,83.33
JPY,1141.58
USD,1244.00
JPY,2585.45
JPY,85.10
USD,238.00
USD,21.00
USD,798.00
USD,49.00
EUR,1067.86
EUR,270.24
JPY,887.96
EUR,77.38
USD,1302.00
JPY,2536.00
CAD,3253.08
CAD,922.31
CAD,39.23
USD,2271.00
USD,17.00
CAD,157.69
EUR,2554.76
USD,895.00
CAD,107.69
USD,45.00
CAD,2486.15
CAD,91.54
EUR,308.33
USD,837.00
